Team,#,Name,First Name,Last Name,POS,HT,WT,AGE,BDAY,EXP,College,AVG Annual Salary,Birth City,Birth State,Race,HS,HS City,HS State,Pro Bowler,Champ,# Of Teams,Heisman,
Chiefs,5,"Santos, Cairo",Cairo,Santos,K,68,175,23,11/12/1991,0,Tulane,"$420,000","Sao Paulo, Brazil",Brazil,Hispanic,St. Joseph Academy,"St. Augustin, FL",Florida,0,NO,1,NO,
Bills,6,"Schmidt, Colton",Colton,Schmidt,K,71,225,24,10/27/1990,1,California-Davis,"$420,000","Bakersfield, CA",California,White,"Liberty (Bakersfield, CA)","Bakersfield, CA",California,0,NO,3,NO,
Browns,42,"Nelson, Robert",Robert,Nelson,CB,69,175,24,2/16/1990,0,Arizona State,"$420,000","Lakeland, FL",Florida,Black,North Gwinnett ,"Suwanee, GA",Florida,0,NO,1,NO,
Chargers,90,"Mathews, Ricardo",Ricardo,Mathews,DT,75,300,27,7/30/1987,5,Cincinnati,"$730,000","Jacksonville, FL",Florida,Black,Parker,"Jacksonville, FL",Florida,0,NO,3,NO,
Browns,89,"Robinson, Gerell",Gerell,Robinson,TE,75,220,25,10/13/1989,1,Arizona State,$0,"Gary, IN",Indiana,Black,Hamilton,"Chandler, AZ",Arizona,0,NO,3,NO,
Texans,65,"Ankrah, Jason",Jason,Ankrah,LB,75,262,23,2/26/1991,0,Nebraska,$0,"Gaithersburg, MD",Maryland,Black,Quince Orchard ,"Gaithersburg, MD",Maryland,0,NO,1,NO,
Cowboys,56,"Toomer, Korey",Korey,Toomer,LB,74,234,26,12/9/1988,3,Idaho,"$420,000","Las Vegas, NV",Nevada,Black,Shadow Ridge,"Las Vegas, NV",Nevada,0,1,2,NO,
Patriots,94,"Jones, Chris",Chris,Jones,DT,73,309,25,7/21/1989,2,Bowling Green State,"$563,512","Columbus, OH",Ohio,White,Brownsburg,"Brownsburg, IN",Indiana,0,NO,3,NO,
Titans,8,"Succop, Ryan",Ryan,Succop,K,73,218,28,9/19/1986,6,South Carolina,"$745,000","Pittsburgh, PA",Pennsylvania,White,Hickory,"Hickory, NC",North Carolina,0,NO,2,NO,
Browns,18,"Gabriel, Taylor",Taylor,Gabriel,WR,68,167,23,2/17/1991,0,Abilene Christian,"$420,000","Mesquite, TX",Texas,Black,Horn,"Mesquite, TX",Texas,0,NO,1,NO,
Browns,69,"Painter, Vinston",Vinston,Painter,T,76,310,25,11/10/1989,1,Virginia Tech,"$420,000","Norfolk, VA",Virginia,Black,Maury,"Norfolk, VA",Virginia,0,NO,2,NO,
Broncos,25,"Harris Jr., Chris",Chris,Harris Jr.,CB,70,199,25,6/18/1989,4,Kansas,"$2,187,000","Bixby, OK",Oklahoma,Black,Bixby,"Bixby, OK",Oklahoma,0,NO,1,NO,
Chargers,58,"Williams, Tourek",Tourek,Williams,LB,76,262,23,5/9/1991,2,Florida International,"$567,515","Tallahassee, FL",Florida,Black,Norland,"Miami, FL",Florida,0,NO,1,NO,
Rams,31,"Alexander, Maurice",Maurice,Alexander,S,73,220,23,2/16/1991,0,Utah State,"$371,065","St. Louis, MO",Missouri,Black,"Eureka (Eureka, MO)","Eureka, MO",Missouri,0,NO,1,NO,
