playerID,yearID,teamID,G,AB,R,H,X2B,X3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,BA,SlugPct,OBP,BABIP,salary
abbotku01,2001,ATL,6,9,0,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0.222,0.222,0.222,0.333,600000
abbotpa01,2001,SEA,28,4,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.25,0.25,0.25,0.333,1700000
abreubo01,2000,PHI,154,576,103,182,42,10,25,79,28,8,100,116,9,1,0,3,12,0.316,0.554,0.416,0.358,2933333
abreubo01,2001,PHI,162,588,118,170,48,4,31,110,36,14,106,137,11,1,0,9,13,0.289,0.543,0.393,0.324,4983000
abreubo01,2002,PHI,157,572,102,176,50,6,20,85,31,12,104,117,9,3,0,6,11,0.308,0.521,0.413,0.354,6333333
abreubo01,2003,PHI,158,577,99,173,35,1,20,101,22,9,109,126,13,2,0,7,13,0.3,0.468,0.409,0.349,9100000
abreubo01,2004,PHI,159,574,118,173,47,1,30,105,40,5,127,116,10,5,0,7,5,0.301,0.544,0.428,0.329,10600000
abreubo01,2005,PHI,162,588,104,168,37,1,24,102,31,9,117,134,15,6,0,8,7,0.286,0.474,0.405,0.329,13100000
abreubo01,2006,PHI,98,339,61,94,25,2,8,65,20,4,91,86,5,2,0,6,8,0.277,0.434,0.427,0.343,13600000
abreubo01,2007,NYA,158,605,123,171,40,5,16,101,25,8,84,115,0,3,0,7,11,0.283,0.445,0.369,0.322,15000000
abreubo01,2008,NYA,156,609,100,180,39,4,20,100,22,11,73,109,2,1,0,1,14,0.296,0.471,0.371,0.333,16000000
abreubo01,2009,LAA,152,563,96,165,29,3,15,103,30,8,94,113,7,1,0,9,15,0.293,0.435,0.39,0.338,5000000
abreubo01,2010,LAA,154,573,88,146,41,1,20,78,24,10,87,132,3,2,0,5,13,0.255,0.435,0.352,0.296,9000000
abreubo01,2011,LAA,142,502,54,127,30,1,8,60,21,5,78,113,5,1,1,3,8,0.253,0.365,0.353,0.31,9000000
abreubo01,2012,LAA,8,24,1,5,3,0,0,5,0,0,2,5,0,0,0,1,1,0.208,0.333,0.259,0.25,9000000
ackledu01,2012,SEA,153,607,84,137,22,2,12,50,13,3,59,124,7,0,1,1,3,0.226,0.328,0.294,0.265,2100000
ackledu01,2013,SEA,113,384,40,97,18,2,4,31,2,3,37,72,1,1,4,1,6,0.253,0.341,0.319,0.301,2700000
adamsda02,2013,NYA,43,140,10,27,5,1,2,13,0,0,9,43,0,2,1,0,4,0.193,0.286,0.252,0.263,540000
