city,grade,pretest,posttest,supp,trt,pair
F,1,13.8,48.9,S,treated,1
F,1,16.5,70.5,R,treated,2
F,1,18.5,89.7,S,treated,3
F,1,8.8,44.2,R,treated,4
F,1,15.3,77.5,S,treated,5
F,1,15,84.7,R,treated,6
F,1,19.4,78.9,R,treated,7
F,1,15,86.8,S,treated,8
F,1,11.8,60.8,S,treated,9
F,1,16.4,75.7,S,treated,10
F,1,16.2,95.1,S,treated,11
F,2,55.1,81.6,R,treated,12
F,2,73.1,101.2,R,treated,13
F,2,51.4,66.4,R,treated,14
F,2,62.3,96.2,S,treated,15
F,2,69.7,101.3,S,treated,16
F,2,70.9,108.9,S,treated,17
F,2,82.5,114.6,S,treated,18
F,2,83.9,111.7,S,treated,19
F,2,69.8,97.3,R,treated,20
F,2,69.2,96.5,S,treated,21
F,2,75.1,94.9,S,treated,22
F,2,68.2,104.8,S,treated,23
F,2,83.5,104.5,R,treated,24
F,2,71.7,108.3,R,treated,25
F,3,77.6,92.8,S,treated,26
F,3,96.5,104.9,S,treated,27
F,3,64.2,88.9,S,treated,28
F,3,88.3,109.9,R,treated,29
F,3,88.6,98.9,S,treated,30
F,3,102.4,113.1,R,treated,31
F,3,105,114.1,S,treated,32
F,3,101.4,114,S,treated,33
F,3,102.6,114,S,treated,34
F,3,76.4,92.4,S,treated,35
F,4,105.9,116.2,S,treated,36
F,4,100.8,116.9,R,treated,37
F,4,91.7,106.9,R,treated,38
F,4,97.5,104.6,R,treated,39
F,4,106.5,114.2,R,treated,40
F,4,107.4,113.6,S,treated,41
F,4,111.4,116.6,S,treated,42
F,4,110,114.8,S,treated,43
F,4,106.9,114.9,S,treated,44
F,4,106.7,111,R,treated,45
F,4,104.1,113.9,S,treated,46
Y,1,12,60.6,R,treated,47
Y,1,12.3,55.5,S,treated,48
Y,1,17.2,84.8,S,treated,49
Y,1,14.6,84.9,S,treated,50
Y,1,18.9,101.9,S,treated,51
Y,1,15.3,70.6,R,treated,52
Y,1,16.6,78.4,R,treated,53
Y,1,16,84.2,S,treated,54
Y,1,20.1,108.6,S,treated,55
Y,1,16.4,76.6,S,treated,56
Y,2,80.3,101.9,S,treated,57
Y,2,76.6,100.1,R,treated,58
Y,2,70.1,91.7,S,treated,59
Y,2,60.9,92.5,R,treated,60
Y,2,72.3,94.4,R,treated,61
Y,2,78.6,101.3,S,treated,62
Y,2,77.4,102.2,S,treated,63
Y,2,71.8,100.6,S,treated,64
Y,2,93,113.8,S,treated,65
Y,2,97.7,114.3,R,treated,66
Y,2,65.7,87.9,R,treated,67
Y,2,80.4,105.6,S,treated,68
Y,2,75.6,102.5,S,treated,69
Y,2,68.4,93.6,S,treated,70
Y,2,83.3,109.2,S,treated,71
Y,2,93.7,111.2,R,treated,72
Y,2,87.3,106.4,R,treated,73
Y,2,95.2,110.6,R,treated,74
Y,2,80.4,112.1,S,treated,75
Y,2,85.4,113.3,S,treated,76
Y,3,98,111.1,S,treated,77
Y,3,83.3,98.9,S,treated,78
Y,3,100.8,112.2,S,treated,79
Y,3,103.8,114.5,R,treated,80
Y,3,100.7,110.3,S,treated,81
Y,3,97,103.7,R,treated,82
Y,3,97.3,110.8,R,treated,83
Y,3,94.5,108.9,S,treated,84
Y,3,97.7,109.6,S,treated,85
Y,3,93.9,107.2,S,treated,86
Y,4,109.7,115.6,R,treated,87
Y,4,110.6,116.2,S,treated,88
Y,4,115.2,119.6,R,treated,89
Y,4,101.9,109.6,S,treated,90
Y,4,119.8,122,S,treated,91
Y,4,108.8,109.7,S,treated,92
